State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.91976	0.91733	0.92823	0.93469	0.94518	0.95083	0.95729	0.95083	0.95325	0.95043	0.93388	0.92298	0.91976	0.91007	0.89312	0.88545	0.88061	0.86931	0.85518	0.85478	0.86003
2	0.87159	0.87019	0.87146	0.87501	0.87413	0.87326	0.87015	0.86914	0.86731	0.87116	0.87702	0.87956	0.88691	0.88901	0.89159	0.89281	0.89356	0.89561	0.89881	0.90117	0.90449
3	2.45057	2.58653	2.56063	2.38582	2.46028	2.57682	2.77752	2.78076	2.80990	2.78724	2.76457	2.97499	2.78724	2.69983	2.73868	2.68041	2.59300	2.64156	2.57358	2.63509	2.46675
4	1.95381	1.93961	1.90270	1.89134	1.81466	1.95381	2.06741	2.07309	1.99925	1.98789	1.84022	1.94245	1.85442	1.84590	1.80046	1.73515	1.73231	1.77206	1.65279	1.61587	1.68119
5	1.43359	1.43359	1.42825	1.43448	1.42112	1.34544	1.29112	1.25996	1.26708	1.24126	1.24482	1.21098	1.22523	1.19852	1.20119	1.20475	1.18071	1.13263	1.15934	1.16112	1.13886
6	3.01420	2.97255	2.78514	2.81637	2.87364	2.94131	2.89446	3.01940	3.07146	3.10790	3.00899	2.89446	2.75911	2.57170	2.51443	2.37388	2.51443	2.50402	2.51443	2.38429	2.28017
7	1.57501	1.54578	1.45076	1.49462	1.56039	1.55674	1.62982	1.77965	1.95140	2.09027	2.09027	2.16701	1.99526	2.00622	1.99526	2.11950	2.08296	2.12316	2.05373	2.01718	1.96602
8	4.30693	4.27755	4.26915	4.05926	3.79900	3.65627	3.58071	3.34564	3.17353	2.94265	2.85030	2.82511	2.96364	3.04340	3.08537	3.14414	3.11476	3.03920	3.04340	3.03500	3.11476
9	2.80676	2.68700	2.49240	2.28283	2.51485	2.46246	2.27534	2.49989	2.26786	2.02835	1.96099	1.90860	1.63166	1.68405	1.72896	1.85620	1.85620	1.90111	1.89363	1.87117	1.76639
10	1.35937	1.40902	1.48475	1.50213	1.52075	1.56420	1.62131	1.66103	1.73552	1.73676	1.75166	1.65234	1.63993	1.69331	1.67097	1.65855	1.70821	1.71938	1.73428	1.70821	1.70076
