State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.24783	1.25139	1.26849	1.25068	1.22361	1.15201	1.07115	0.96464	0.85029	0.78297	0.75162	0.74307	0.80042	0.87523	0.96678	1.04764	1.10819	1.13562	1.16091	1.16305	1.15913
2	0.75854	0.74035	0.71486	0.68158	0.63153	0.57040	0.50050	0.43188	0.38670	0.36693	0.35979	0.36280	0.37462	0.39149	0.41427	0.44096	0.47355	0.50672	0.53422	0.55959	0.58098
3	1.47438	1.50295	1.45152	1.25150	1.26293	1.28294	1.14864	1.08578	0.97720	0.95720	0.91720	0.74862	0.74290	0.72290	0.76862	0.91148	1.10578	1.16007	1.22865	1.24293	1.26579
4	2.00276	1.89247	1.68443	1.38113	1.05277	0.86477	0.84472	0.77704	0.72942	0.73694	0.78957	0.77704	0.75699	0.79459	0.81965	0.93496	1.67691	2.81490	4.05566	4.73745	5.08336
5	1.31566	1.13725	0.94548	0.74114	0.60831	0.50929	0.45191	0.43305	0.42283	0.40947	0.39218	0.40633	0.43698	0.46606	0.48807	0.56587	0.75607	1.23078	1.83988	2.47806	3.05651
6	6.62592	7.66898	8.56959	8.94178	8.54202	7.09001	4.94417	3.61163	2.96834	2.41235	2.15963	2.36181	2.85347	4.56279	10.00781	19.06446	25.80526	26.83453	24.69787	21.45384	18.23737
7	2.95131	3.30934	3.79639	4.61243	5.74458	7.12831	8.82813	9.59902	8.06692	4.71565	2.72553	2.50297	2.61586	2.90293	3.31257	3.46094	3.10936	2.66102	2.31267	2.01592	1.86433
8	4.73151	5.63186	7.06206	9.33333	12.93476	18.42583	25.69909	34.54704	43.85073	48.20431	51.47227	57.26346	55.34789	50.77200	42.41312	30.41207	19.91531	13.01628	8.85166	6.25804	4.70187
9	3.44191	3.85811	4.86888	6.79794	9.11016	12.16229	15.37298	17.69842	18.60349	24.04712	25.01165	15.22103	14.66610	14.89732	14.96339	14.48112	12.08302	9.49993	6.50726	4.96137	3.76562
10	2.51584	2.60130	2.67910	2.81498	2.90483	2.81826	2.44133	1.84962	1.33243	1.20423	1.12972	1.05959	1.01905	1.07055	1.10671	1.30613	1.54500	1.71484	1.79483	1.77292	1.68855
