State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	8.61495	0.52320	0.81372	0.90996	0.93398	0.75164	1.13854	1.62575
2	79.46938	0.31831	0.83446	0.89764	0.87702	0.35980	0.55015	1.03521
3	1.07402	0.77516	2.47133	1.28266	2.76486	0.91723	1.20231	0.79282
4	1.22430	0.31485	1.99588	2.27141	1.84041	0.78960	1.55650	0.09938
5	3.90465	0.42935	1.55226	2.27773	1.24406	0.39219	0.87313	0.17046
6	0.66786	1.02918	2.36527	2.19634	3.00930	2.15969	8.91356	0.13270
7	0.95143	1.32449	1.47031	1.09597	2.09049	2.72561	4.18120	0.29730
8	0.82825	60.82851	8.29657	1.58688	2.85060	51.47015	23.17625	0.27188
9	0.46452	30.27251	3.92458	1.04991	1.96119	25.01241	11.93907	0.84459
10	2.80065	0.32555	1.37250	1.23615	1.75184	1.12975	1.85416	0.39227
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
