State (Emission order)	H3k27me3	Ctcf	H3k36me3	H4k20me1	H3k79me2	H3k4me1	H3k4me2	H3k4me3	H3k27ac	H3k9me3
1	0.3913107506199866	0.013597158887794936	0.003378634891448386	0.003378634891448386	5.1723697990304036E-5	0.0019599347340107484	0.001060217667031252	3.957507402281021E-5	8.516060361968708E-5	2.22872687628982E-5
2	0.004160814435016735	0.006815217128354804	0.0	0.0	9.278330193321637E-4	0.0019950481637880327	1.8747759915375918E-4	4.11804633328928E-5	1.243928599623003E-4	4.128090930623962E-5
3	0.03227850267981251	0.5222437603181133	0.2246400652493371	0.2246400652493371	0.00998734182269952	0.05170207959643301	0.010995800938854898	0.006125744183712385	0.003862200030030869	0.0036255612113002987
4	1.6781495501110198E-4	0.04302146838353617	0.45507980945683646	0.45507980945683646	0.9178536537784775	0.5580094537607703	0.14864212869140733	0.007704602892019828	0.03717843536646494	0.03634665736349121
5	3.4317606707319966E-5	0.013760880074585268	0.0	0.0	0.5015907742496855	0.05474264654308491	3.1282182375919987E-4	2.6660689295134656E-4	6.55722337100951E-4	3.562360317710981E-4
6	2.0468683157814118E-4	0.05538716292707161	0.18256374712632856	0.18256374712632856	0.9605212259531088	0.8824737813969372	0.9405230448013967	0.6785270096598366	0.7078857668188795	0.8012741464471713
7	3.5369943516983123E-4	0.10400327597497426	0.0017590984073153663	0.0017590984073153663	0.04147222939236546	0.9512908041510478	0.8830475935764702	0.5533913733843593	0.7056800954902526	0.8098852298405176
8	0.016271829118386757	0.16347942419346323	0.0	0.0	0.3485523335558837	0.10629070267018584	0.864736623989689	0.9951337812598848	0.9917514017885894	0.9865668744389715
9	0.21245884137153212	0.19843755579539268	0.01195394092099391	0.01195394092099391	0.009022103878327827	0.2791736740299904	0.8076461581671265	0.4855133944277195	0.14828646673753249	0.1157429856936466
10	0.0010800317854975795	0.04226572493902792	0.0	0.0	0.021439443444140505	0.6818983298660029	0.15456410547952174	0.005252815955506214	0.038651449593617083	0.041453693187155465
