State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9597127798440199	0.03156290348673274	0.004880102228224941	0.0	0.0	0.0	0.0	0.0	0.003831234278386088	1.2980162636222182E-5
2	0.0035629760279934225	0.9801956460404251	0.007820557705963604	0.0	6.408597383364555E-4	1.829985274141928E-6	1.128389800533589E-4	1.0534097896204929E-4	8.404524885588605E-4	0.006719498054432804
3	0.030246900445944722	0.42690909915431385	0.5083373580873601	8.297326616162865E-4	0.007346160555754561	1.1517661127058677E-5	0.0016551782055928424	2.7784647944292833E-4	0.01267183345800029	0.011714373290847357
4	0.0	9.206322138784459E-7	8.055808128585057E-4	0.6577242051979384	0.27944801411732684	0.05101250012825627	6.271483222486657E-4	0.0	3.1272551176102714E-4	0.010068905277396397
5	0.0	0.013417204285782011	0.0025846412237458933	0.09273140856580717	0.8836540674078238	0.004315411797961417	0.0	1.7214947088155306E-4	2.4375646748666836E-4	0.0028813607805114752
6	0.0	2.132204249839279E-4	4.130820828942257E-5	0.09571614729829721	0.02585485140326849	0.8003270214729339	0.010287541977464218	0.05599170580425882	0.0032717322634381488	0.008296471147065958
7	0.0	0.008395975729919888	0.0020819170975050535	6.133117781296073E-4	2.9557903633974253E-6	0.00721123820729034	0.7323508127066263	0.036202248380273715	0.004339562845417676	0.20880197746447404
8	0.0	0.009520699591102489	5.948680577000247E-4	0.0	6.378705861808957E-4	0.04713092340458976	0.04068975688365247	0.8174062559944418	0.08318660125038736	8.330242319451229E-4
9	0.06697710037211264	0.13687095645544317	0.03885953419711356	8.720453207737882E-4	0.00209672617743813	0.004303455321089139	0.009020846664528494	0.1425196575989481	0.5673861331662364	0.03109354472631654
10	3.387672236334168E-5	0.17318294076610508	0.0057973890802657845	0.0041581225751114665	0.0037081944466938912	0.0018688794190384152	0.06580718459688514	2.9849709545964133E-4	0.005189527879927831	0.7399553874181493
